,date,open,high,low,close,volume
0,2019-12-30,428.81,429.0,409.2589,414.62,12082466
1,2019-12-31,405.0003,421.29,402.08,418.17,9761539
2,2020-01-02,424.95,430.6957,421.71,430.24,9113793
3,2020-01-03,440.5,454.0,436.92,442.75,16409329
4,2020-01-06,440.47,451.56,440.0,451.4001,9807049
5,2020-01-07,461.4,471.63,453.355,469.17,16859537
6,2020-01-08,473.7,498.49,468.23,492.09,29804104
7,2020-01-09,497.1,498.8,472.87,481.49,26901507
8,2020-01-10,481.79,484.94,473.7,477.96,12365563
9,2020-01-13,493.5,525.63,492.0,524.85,25531104
10,2020-01-14,544.255,547.41,524.9,538.0,27042937
11,2020-01-15,529.76,537.84,516.7853,518.505,16462639
12,2020-01-16,494.08,514.46,492.17,513.49,20068904
13,2020-01-17,507.61,515.6699,503.16,510.19,12517514
14,2020-01-21,530.23,548.58,528.41,547.3007,33002168
15,2020-01-22,571.51,594.5,559.1,569.43,59686356
16,2020-01-23,564.08,582.0,555.6027,571.9422,37423500
17,2020-01-24,570.63,573.86,554.26,564.96,27306834
18,2020-01-27,541.99,564.44,539.28,557.54,12311739
19,2020-01-28,568.44,576.81,558.08,566.82,11093082
20,2020-01-29,575.69,589.7999,567.43,581.0,13250284
21,2020-01-30,632.42,650.88,618.0,640.93,26845261
22,2020-01-31,638.68,653.0,632.52,650.48,15067058
23,2020-02-03,673.69,786.14,673.52,780.28,45229406
24,2020-02-04,882.96,968.9899,833.88,887.72,53837004
25,2020-02-05,822.8,845.98,704.1106,734.72,44703541
26,2020-02-06,699.92,795.83,687.0,748.5,38382071
27,2020-02-07,731.0,769.75,730.0,747.9808,16311618
28,2020-02-10,800.41,819.99,752.4,770.8467,23238209
29,2020-02-11,768.5,783.5061,758.0,774.02,11177954
30,2020-02-12,778.0,789.75,763.37,767.44,11193209
31,2020-02-13,741.84,818.0,735.0,803.86,24953651
32,2020-02-14,787.22,812.97,785.5,799.9724,14271351
33,2020-02-18,841.6,860.0,832.36,858.66,14593786
34,2020-02-19,923.5,944.78,901.02,916.96,23657004
35,2020-02-20,911.81,912.0,859.94,899.18,16797173
36,2020-02-21,906.74,913.06,880.45,901.0,13379998
37,2020-02-24,839.0,863.5,822.2,833.16,14109712
38,2020-02-25,849.18,856.6,787.0,799.11,16703593
39,2020-02-26,783.0,813.31,776.11,778.8,13266973
40,2020-02-27,730.0,739.77,669.0,678.85,22838989
41,2020-02-28,629.7,690.52,611.52,667.43,23087454
42,2020-03-02,711.26,743.69,686.67,743.69,18641901
43,2020-03-03,805.5,806.98,716.1106,745.51,23727404
44,2020-03-04,763.9603,766.52,724.7345,749.5,13975877
45,2020-03-05,723.5,745.75,718.07,723.62,10164674
46,2020-03-06,693.0,707.0,684.27,703.39,23777510
47,2020-03-09,605.39,662.998,605.0,606.46,15637810
48,2020-03-10,659.43,668.0,608.0,645.0,14714548
49,2020-03-11,640.2,653.58,613.0,633.905,12845088
50,2020-03-12,580.0,594.5,546.25,556.01,17650406
51,2020-03-13,595.0,607.57,502.0,546.2,21281778
52,2020-03-16,469.4997,494.8699,442.17,444.9801,38445545
53,2020-03-17,440.01,471.85,396.0,430.0,23150951
54,2020-03-18,389.0,404.86,350.51,361.6,39969144
55,2020-03-19,374.6965,452.0,358.46,427.295,28716890
56,2020-03-20,438.2,477.0,425.79,427.53,27182628
57,2020-03-23,433.55,441.9999,410.5,434.29,15611610
58,2020-03-24,476.3,513.69,474.0,504.3,21685259
59,2020-03-25,545.25,557.0,511.11,539.175,19706795
60,2020-03-26,547.39,560.0,512.25,528.05,16688863
61,2020-03-27,505.0,525.8,494.03,514.56,13608376
62,2020-03-30,510.26,516.6471,491.23,502.1,11162231
63,2020-03-31,501.25,542.96,497.0,524.48,16421035
64,2020-04-01,504.0,513.9548,475.1,481.58,12570750
65,2020-04-02,481.03,494.2599,446.4,454.47,15413671
66,2020-04-03,509.5,515.49,468.3901,480.0,21274333
67,2020-04-06,511.16,521.0,497.96,516.24,27631958
68,2020-04-07,545.0,565.0,532.34,545.47,17334969
69,2020-04-08,554.2,557.2081,533.33,548.7,24384936
70,2020-04-09,562.09,575.1818,557.11,573.01,12745268
71,2020-04-13,591.0,652.0,580.53,650.9899,21175579
72,2020-04-14,698.97,741.88,692.43,709.755,57451900
73,2020-04-15,742.0,753.13,710.0,729.5254,43359242
74,2020-04-16,716.94,759.45,706.715,745.6545,57474573
75,2020-04-17,772.28,774.95,747.66,753.65,24322747
76,2020-04-20,732.7,765.57,712.21,746.35,28421310
77,2020-04-21,730.12,753.33,673.79,686.72,58529442
78,2020-04-22,703.98,733.89,688.71,732.15,38252230
79,2020-04-23,727.6,734.0,703.13,705.63,38120713
